"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1274","@smoke @critical Add product to cart","ui-webkit","Mon Feb 16 07:05:55 UTC 2026","passed","Mon Feb 16 07:05:56 UTC 2026","Cart Operations","UI/product.spec.ts","",""
"","1817","@smoke @critical Finish button completes order","ui-webkit","Mon Feb 16 07:05:51 UTC 2026","passed","Mon Feb 16 07:05:53 UTC 2026","Checkout Step Two - Order Overview","UI/checkout.spec.ts","",""
"","1679","@regression Verify item total and tax calculation","ui-firefox","Mon Feb 16 07:06:06 UTC 2026","passed","Mon Feb 16 07:06:08 UTC 2026","Checkout Step Two - Order Overview","UI/checkout.spec.ts","",""
"","968","@regression Login fails with invalid credentials","ui-chromium","Mon Feb 16 07:05:29 UTC 2026","passed","Mon Feb 16 07:05:30 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","2827","@regression Checkout fails with missing postal code","ui-webkit","Mon Feb 16 07:05:40 UTC 2026","passed","Mon Feb 16 07:05:43 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1770","@smoke Order confirmation message displayed","ui-firefox","Mon Feb 16 07:06:12 UTC 2026","passed","Mon Feb 16 07:06:13 UTC 2026","Checkout Complete - Confirmation","UI/checkout.spec.ts","",""
"","3195","@regression Login fails with invalid credentials","ui-webkit","Mon Feb 16 07:05:44 UTC 2026","passed","Mon Feb 16 07:05:47 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","1527","@regression Checkout fails with missing postal code","ui-chromium","Mon Feb 16 07:05:40 UTC 2026","passed","Mon Feb 16 07:05:41 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1072","@regression Navigate back to products from product detail page","ui-chromium","Mon Feb 16 07:05:47 UTC 2026","passed","Mon Feb 16 07:05:48 UTC 2026","Back to Products","UI/product-detail.spec.ts","",""
"","1366","@regression Cart with multiple products shows all items","ui-chromium","Mon Feb 16 07:05:37 UTC 2026","passed","Mon Feb 16 07:05:39 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","1274","@smoke @critical Remove item from cart updates UI","ui-chromium","Mon Feb 16 07:05:39 UTC 2026","passed","Mon Feb 16 07:05:40 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","1421","@regression Login with empty username only","ui-webkit","Mon Feb 16 07:05:48 UTC 2026","passed","Mon Feb 16 07:05:50 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","2280","@regression Login fails with invalid credentials","ui-firefox","Mon Feb 16 07:05:39 UTC 2026","passed","Mon Feb 16 07:05:41 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","1528","@regression Sort by Name (Z to A)","ui-firefox","Mon Feb 16 07:05:32 UTC 2026","passed","Mon Feb 16 07:05:34 UTC 2026","Filter","UI/product.spec.ts","",""
"","1043","@smoke @critical Add to cart from product detail page","ui-chromium","Mon Feb 16 07:05:46 UTC 2026","passed","Mon Feb 16 07:05:47 UTC 2026","Add and Remove from Cart","UI/product-detail.spec.ts","",""
"","1970","@regression Back Home navigates to inventory","ui-firefox","Mon Feb 16 07:06:13 UTC 2026","passed","Mon Feb 16 07:06:15 UTC 2026","Checkout Complete - Confirmation","UI/checkout.spec.ts","",""
"","724","@regression Sort by Price (high to low)","ui-chromium","Mon Feb 16 07:05:48 UTC 2026","passed","Mon Feb 16 07:05:48 UTC 2026","Filter","UI/product.spec.ts","",""
"","1822","@regression Sort by Price (low to high)","ui-webkit","Mon Feb 16 07:05:51 UTC 2026","passed","Mon Feb 16 07:05:53 UTC 2026","Filter","UI/product.spec.ts","",""
"","1398","@regression Cancel checkout returns to cart","ui-chromium","Mon Feb 16 07:05:41 UTC 2026","passed","Mon Feb 16 07:05:43 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1678","@smoke @critical Add to cart from product detail page","ui-firefox","Mon Feb 16 07:05:32 UTC 2026","passed","Mon Feb 16 07:05:33 UTC 2026","Add and Remove from Cart","UI/product-detail.spec.ts","",""
"","3158","@smoke Verify components on product page","ui-firefox","Mon Feb 16 07:05:26 UTC 2026","passed","Mon Feb 16 07:05:30 UTC 2026","Product Page","UI/product.spec.ts","",""
"","1332","@smoke Checkout button leads to checkout page","ui-chromium","Mon Feb 16 07:05:42 UTC 2026","passed","Mon Feb 16 07:05:43 UTC 2026","Cart Page - Navigation","UI/cart.spec.ts","",""
