"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2985","@smoke Access to product detail page","ui-firefox","Mon Feb 16 07:14:39 UTC 2026","passed","Mon Feb 16 07:14:42 UTC 2026","Access To A Product Detail Page","UI/product-detail.spec.ts","",""
"","1056","@regression Direct access to product detail page","ui-chromium","Mon Feb 16 07:14:40 UTC 2026","passed","Mon Feb 16 07:14:41 UTC 2026","Access To A Product Detail Page","UI/product-detail.spec.ts","",""
"","959","@smoke @critical Finish button completes order","ui-chromium","Mon Feb 16 07:15:06 UTC 2026","passed","Mon Feb 16 07:15:07 UTC 2026","Checkout Step Two - Order Overview","UI/checkout.spec.ts","",""
"","1333","@regression Cart with multiple products shows all items","ui-chromium","Mon Feb 16 07:14:58 UTC 2026","passed","Mon Feb 16 07:14:59 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","1710","@smoke @critical Add to cart from product detail page","ui-firefox","Mon Feb 16 07:14:45 UTC 2026","passed","Mon Feb 16 07:14:46 UTC 2026","Add and Remove from Cart","UI/product-detail.spec.ts","",""
"","7474","@smoke @critical Complete checkout with valid info","ui-webkit","Mon Feb 16 07:14:39 UTC 2026","passed","Mon Feb 16 07:14:47 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1630","@smoke @critical Complete checkout with valid info","ui-chromium","Mon Feb 16 07:14:54 UTC 2026","passed","Mon Feb 16 07:14:56 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1372","@regression @critical Remove product from cart","ui-webkit","Mon Feb 16 07:15:10 UTC 2026","passed","Mon Feb 16 07:15:11 UTC 2026","Cart Operations","UI/product.spec.ts","",""
"","2149","@regression Navigate back to products from product detail page","ui-webkit","Mon Feb 16 07:15:06 UTC 2026","passed","Mon Feb 16 07:15:08 UTC 2026","Back to Products","UI/product-detail.spec.ts","",""
"","9273","@smoke Verify components on product page","ui-webkit","Mon Feb 16 07:14:51 UTC 2026","passed","Mon Feb 16 07:15:00 UTC 2026","Product Page","UI/product.spec.ts","",""
"","2432","@smoke @critical Remove item from cart updates UI","ui-webkit","Mon Feb 16 07:14:51 UTC 2026","passed","Mon Feb 16 07:14:53 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","1674","@regression Navigate back to products from product detail page","ui-firefox","Mon Feb 16 07:14:46 UTC 2026","passed","Mon Feb 16 07:14:48 UTC 2026","Back to Products","UI/product-detail.spec.ts","",""
"","1624","@regression Sort by Name (Z to A)","ui-webkit","Mon Feb 16 07:15:03 UTC 2026","passed","Mon Feb 16 07:15:05 UTC 2026","Filter","UI/product.spec.ts","",""
"","1511","@regression Sort by Name (Z to A)","ui-firefox","Mon Feb 16 07:14:44 UTC 2026","passed","Mon Feb 16 07:14:46 UTC 2026","Filter","UI/product.spec.ts","",""
"","2556","@regression Checkout fails with missing postal code","ui-firefox","Mon Feb 16 07:15:09 UTC 2026","passed","Mon Feb 16 07:15:12 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","934","@regression Login fails with invalid credentials","ui-chromium","Mon Feb 16 07:14:41 UTC 2026","passed","Mon Feb 16 07:14:42 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","1049","@smoke Empty cart displays correct UI elements","ui-chromium","Mon Feb 16 07:14:54 UTC 2026","passed","Mon Feb 16 07:14:55 UTC 2026","Cart Page - Empty State","UI/cart.spec.ts","",""
"","1980","@regression Sort by Name (A to Z)","ui-webkit","Mon Feb 16 07:15:01 UTC 2026","passed","Mon Feb 16 07:15:03 UTC 2026","Filter","UI/product.spec.ts","",""
"","7375","@regression Login fails with invalid credentials","ui-webkit","Mon Feb 16 07:14:49 UTC 2026","passed","Mon Feb 16 07:14:56 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","2613","@regression Checkout fails with missing postal code","ui-webkit","Mon Feb 16 07:14:53 UTC 2026","passed","Mon Feb 16 07:14:56 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1418","@regression Login with empty username only","ui-webkit","Mon Feb 16 07:14:58 UTC 2026","passed","Mon Feb 16 07:14:59 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
